usuario,comentario,keywords_detectadas
Usuario no disponible,que diferencia hay entre ecoturismo y turismo,turismo
Usuario no disponible,quiero estudiarlo pero me dicen que es trabajar en un hotel osea no es viajar,hotel
Usuario no disponible,"Aqui, un Bachiller en turismo",turismo
Usuario no disponible,"Hermoso lugar, a tan solo 3 horas de Quito... En la bella ciudad de Archidona......",hermoso
Usuario no disponible,Es super bonito recomendado,bonito
Usuario no disponible,Puedes decirme en que lugar de archidona ???,lugar
Usuario no disponible,"A 2 horas de Ibarra hay un lugar similar es super hermoso, pense que era el mismo lugar pero no es, es super lindo",lugar
Usuario no disponible,como se llama ese lugar y x donde mis esta ubicado,lugar
Usuario no disponible,Que precio tiene para 5 personas,precio
Usuario no disponible,buen dia. las actividades tienen costo adicional ??,costo
Usuario no disponible,q vale hospedaje,hospedaje
Usuario no disponible,Costo por pareja por favor,costo
Usuario no disponible,precio del hospedaje,"hospedaje, precio"
Usuario no disponible,"Tonsupa Esmeraldas, yo me iba cuando era una playa votada y llena de yerba, que enorme cambio en pocos anos ojala y la cuiden",playa
Usuario no disponible,Hermosa la playa de Tonsupa,playa
Usuario no disponible,Se ve bien bonito el color del agua pero cuando bajas es cafe jaja y es por la gran cantidad de sedimento que bajan de los rios. :'(,bonito
Usuario no disponible,LA PLAYA,playa
Usuario no disponible,hermoso mi Ecuador,hermoso
Usuario no disponible,"Hermosa la playa de Tonsupa, las mejores vacaciones",playa
Usuario no disponible,exelente video te invito alas aguas termales la Grita bendiciones para todos ustedes que dan ha conocer sitios tan hermosos que tiene el Tachira,"conocer, termales"
Usuario no disponible,que dia tienen para ir y el precio porfa,precio
Usuario no disponible,un lindo lugar,lugar
Usuario no disponible,informacion sobre el paseo por favor,paseo
Usuario no disponible,Muy hermos ese lugar y la joven turista muy hermosa,lugar
Usuario no disponible,precio del tours,precio
Usuario no disponible,que bonito ese lugar,"bonito, lugar"
Usuario no disponible,q precio sale el tour,"precio, tour"
Usuario no disponible,te invito q vallas a conocer las aguas termales don cheo La Grita,"conocer, termales"
Usuario no disponible,informacion para un viaje en Pareja,viaje
Usuario no disponible,yo vivo en galapagos que es mas hermoso,hermoso
Usuario no disponible,Hermoso donde es? Como se puede llegar ?,hermoso
Usuario no disponible,Mi Ecuador bonito no te hacen justicia ni estos videos tan bonitos,bonito
Usuario no disponible,Enamorada de cada lugar maravilloso de nuestro pais,lugar
Usuario no disponible,Ante tanta noticia mala que pasa en mi pais esto es dar a conocer al mundo su belleza natural y refresca el alma esperando mejorar nuestra situacion,conocer
Usuario no disponible,Hermoso gracias,hermoso
