usuario,comentario,keywords_detectadas
Usuario no disponible,,no_relacionado
Usuario no disponible,,no_relacionado
Usuario perdido,De nada sirven las camaras si los policias llegan siempre 20 minutos tarde o nunca llegan,no_relacionado
Usuario perdido,Veo que si es algo un poco bueno,no_relacionado
Usuario perdido,por fin algo bueno me salvaron a mi tambien de que me sacaran el telefono y el dinero que cargaba soy la persona de capucha color blanco,no_relacionado
Usuario perdido,"Que bacan esta opcion, algo es algo",no_relacionado
Usuario perdido,"Ya era hora, Pensaba que usaban las camaras solo para chismear a los jovenes.",no_relacionado
Usuario perdido,"esas camaras no sirven de nada, solo las prenden para contenido en tiktok y listo",no_relacionado
Usuario perdido,wow son 4,no_relacionado
Usuario perdido,"De nada sirve avisarles, trabajen conjuntamente con la policia y aprehendan a los sujetos si estan en un presunto cometimiento de comercializacion de sustancias sujetas a fiscalizacion.",no_relacionado
Usuario perdido,Deberia estar presente los policias,no_relacionado
Usuario perdido,ahi esta pues hasta donde a llegado el correismo la culpa es del correa ahi esta sigan con el corrismo y aun asi no aprenden,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,@ J A N N E T H,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,shhh no dejan ganar la vida Chto shhh,no_relacionado
Usuario perdido,"hay q sanear ese lugar a vista de todos robos, consumo, venta de drogas muy maluco ese sector",lugar
Usuario perdido,Excelente sigan asi,no_relacionado
Usuario perdido,me parece bien,no_relacionado
Usuario perdido,"asi debieron proteger a una senora el sabado, ella iba subiendo las escaleras remodeladas y un ciclista se fue por la parte del peaton, la senora le alejo con un paraguas y el man le dijo vieja p*t*, habia un guardia alli y no dijo nada",no_relacionado
Usuario perdido,el microtrafico de droga en ese sector es muy frecuente ! deberian las camaras detectar porque la mayoria de gente que pasamos por San Blas no damos cuenta de la venta,no_relacionado
Usuario no disponible,Mi carrera sonada,no_relacionado
Usuario no disponible,la carrera es muy cara?,no_relacionado
Usuario no disponible,que diferencia hay entre ecoturismo y turismo,turismo
Usuario no disponible,cuanto dura esa carrera,no_relacionado
Usuario no disponible,quiero estudiarlo pero me dicen que es trabajar en un hotel osea no es viajar,hotel
Usuario no disponible,podria ser lo mismo que negocios internacionales y turismo? o es otro ?,no_relacionado
Usuario no disponible,"ya me anote para el ano que viene en la unsam, lo lindo de la carrera es que es multifacetica y no se cierra en una sola cosa, ves un poco de todo",no_relacionado
Usuario no disponible,"Aqui, un Bachiller en turismo",turismo
Usuario no disponible,,no_relacionado
Usuario no disponible,,no_relacionado
Usuario no disponible,"Hermoso lugar, a tan solo 3 horas de Quito... En la bella ciudad de Archidona......",hermoso
Usuario no disponible,Quiero ir donde se encuentra,no_relacionado
Usuario no disponible,Wow que hermoso!!,no_relacionado
Usuario no disponible,cuando dijo isla d los monos crei que era alguna urbanizacion en guayaquil [laughwithtears],no_relacionado
Usuario no disponible,en la provincia de napo en el canton archidona antes de la entrada por la parte norte del canton,no_relacionado
Usuario no disponible,Como se puede preguntar los precios por favor,no_relacionado
Usuario no disponible,Puedo ir en bus desde Quito????? Heeeelp!,no_relacionado
Usuario no disponible,Es super bonito recomendado,bonito
Usuario no disponible,Permiten el ingreso con mascotas?,no_relacionado
Usuario no disponible,Puedes decirme en que lugar de archidona ???,lugar
Usuario no disponible,"A 2 horas de Ibarra hay un lugar similar es super hermoso, pense que era el mismo lugar pero no es, es super lindo",lugar
Usuario no disponible,Es caro? Me encantaria regalarme una salidita,no_relacionado
Usuario no disponible,alguien que me diga como llegar x alla xfa quiero ir,no_relacionado
Usuario no disponible,Es en guayaquil,no_relacionado
Usuario no disponible,Esperando que salga algun mono,no_relacionado
Usuario no disponible,como se llama ese lugar y x donde mis esta ubicado,lugar
Usuario no disponible,Y donde estan los monos o son las personas @,no_relacionado
Usuario no disponible,"Solo quiero saber si es caro, por que quiero ir en realidad JAJAJAJ",no_relacionado
Usuario no disponible,como cuando y donde....pag como se llega,no_relacionado
Usuario no disponible,Porque no puedo compartir?,no_relacionado
Usuario perdido,ya pues cristian zamora ponte las pilas eso no puede pasar en nuestra ciudad o q opine el pueblo,no_relacionado
Usuario perdido,De cuando es la noticia,no_relacionado
Usuario perdido,Que esperan los Cuenca nos...,no_relacionado
Usuario perdido,dios viene pronto,no_relacionado
Usuario perdido,Dios bendiga,no_relacionado
Usuario perdido,yo pensava irme a vivir ay pero ya no mejor me quedo aqui mismo no no ecuador no se puede,no_relacionado
Usuario perdido,cuenca despierta no permitan esto,no_relacionado
Usuario perdido,y q hacen la policia,no_relacionado
Usuario perdido,Que hacen la policia o militares y las autoridades,no_relacionado
Usuario perdido,ay Dios asta donde yegamos,no_relacionado
Usuario perdido,hasta cuando,no_relacionado
Usuario perdido,pero el alcalde dice otra cosa,no_relacionado
Usuario perdido,jajajajaja jajaja,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,Voz del Tomebamba,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,y donde esta la fiscal buscando a correistas,no_relacionado
Usuario perdido,pinche gobierno vale verg ya pues que haga algo,no_relacionado
Usuario perdido,esos venezolano,no_relacionado
Usuario perdido,No que el alcalde se llena de boca yo pienso que todos son cumpleces o se hacen de la vista gorda,no_relacionado
Usuario perdido,"Esto es obra del CORREISMO, que quiere destruir la buena fama de Cuenca.",no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,todo esto es verdad las personas de Cuenca se estan lamentando,no_relacionado
Usuario perdido,deberia deportar todos los venezolanos,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,correa ahi esta las leynes dejo,no_relacionado
Usuario perdido,Que podemos esperar si las misma autoridades son los cabecillas de toda la mafia delincuencia y sicariato cuando ellos deberian dar seguridad,no_relacionado
Usuario perdido,Y en donde esta el alcalde ? Es hora de levantar el pueblo no se puede permitir que malandros extranjeros vengan a aduenar de la ciudad,no_relacionado
Usuario perdido,El pais necesita un Bukele,no_relacionado
Usuario perdido,Fuera venezolanos saquen a todos estos venezolanos,no_relacionado
Usuario perdido,Al Gobierno no se le caera la cara de la verguenza,no_relacionado
Usuario perdido,ECUATORIANO PORQUE NO SE LEVANTAN NO SE DEJEN SALGAN ALAS CALLES A PEPEAR DIOS ASTA CUANDO,no_relacionado
Usuario perdido,Nacional del Ecuador,no_relacionado
Usuario perdido,Senor narrador porque no da respuestas a estos problemas de la sociedad en vez de actualizar a la delincuencia.,no_relacionado
Usuario perdido,BIEN ELLOS MISMO ELIGIERON AL PRESIDENTE DEL CAR Y ON,no_relacionado
Usuario perdido,Que pena pobre pais en manos de delincuentes,no_relacionado
Usuario no disponible,pachacay,no_relacionado
Usuario no disponible,no es lo que dicen es muy caro deben decir la verdad asi uno lleva lo que es,no_relacionado
Usuario no disponible,pachacay,no_relacionado
Usuario no disponible,Que precio tiene para 5 personas,precio
Usuario no disponible,Excelente,no_relacionado
Usuario no disponible,$6 solo a entrada,no_relacionado
Usuario no disponible,buen dia. las actividades tienen costo adicional ??,costo
Usuario no disponible,q vale hospedaje,hospedaje
Usuario no disponible,pachacay,no_relacionado
Usuario no disponible,Pachuca y,no_relacionado
Usuario no disponible,pachakay,no_relacionado
Usuario no disponible,Costo por pareja por favor,costo
Usuario no disponible,como se llama me gustaria con mi familia,no_relacionado
Usuario no disponible,precio del hospedaje,"hospedaje, precio"
Usuario no disponible,Para tres personas por favor,no_relacionado
Usuario no disponible,donde es especificamente,no_relacionado
Usuario no disponible,pachacaic,no_relacionado
Usuario no disponible,precios aspedaje para pareja,no_relacionado
Usuario no disponible,Pachakai,no_relacionado
Usuario no disponible,pachakay,no_relacionado
Usuario perdido,Son gente de la costa que llego a rrobar en Cuenca son gente correista de la costa,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,Azuay,no_relacionado
Usuario perdido,claramente se ve que son de la Costa,no_relacionado
Usuario perdido,Se necesita mas control policial. Y en ese sector hay full,no_relacionado
Usuario perdido,ESAS CAMARAS PASAN BOTADAS EN MANOS DE GENTE Q PASA DURMIENDO Y COMIENDO EN EL PUESTO DE TRABAJO .....,no_relacionado
