usuario,comentario,keywords_detectadas
Usuario no disponible,,no_relacionado
Usuario no disponible,,no_relacionado
Usuario no disponible,Mi carrera sonada,no_relacionado
Usuario no disponible,la carrera es muy cara?,no_relacionado
Usuario no disponible,que diferencia hay entre ecoturismo y turismo,turismo
Usuario no disponible,cuanto dura esa carrera,no_relacionado
Usuario no disponible,quiero estudiarlo pero me dicen que es trabajar en un hotel osea no es viajar,hotel
Usuario no disponible,podria ser lo mismo que negocios internacionales y turismo? o es otro ?,no_relacionado
Usuario no disponible,"ya me anote para el ano que viene en la unsam, lo lindo de la carrera es que es multifacetica y no se cierra en una sola cosa, ves un poco de todo",no_relacionado
Usuario no disponible,"Aqui, un Bachiller en turismo",turismo
Usuario no disponible,,no_relacionado
Usuario no disponible,,no_relacionado
Usuario no disponible,"Hermoso lugar, a tan solo 3 horas de Quito... En la bella ciudad de Archidona......",hermoso
Usuario no disponible,Quiero ir donde se encuentra,no_relacionado
Usuario no disponible,Wow que hermoso!!,no_relacionado
Usuario no disponible,cuando dijo isla d los monos crei que era alguna urbanizacion en guayaquil [laughwithtears],no_relacionado
Usuario no disponible,en la provincia de napo en el canton archidona antes de la entrada por la parte norte del canton,no_relacionado
Usuario no disponible,Como se puede preguntar los precios por favor,no_relacionado
Usuario no disponible,Puedo ir en bus desde Quito????? Heeeelp!,no_relacionado
Usuario no disponible,Es super bonito recomendado,bonito
Usuario no disponible,Permiten el ingreso con mascotas?,no_relacionado
Usuario no disponible,Puedes decirme en que lugar de archidona ???,lugar
Usuario no disponible,"A 2 horas de Ibarra hay un lugar similar es super hermoso, pense que era el mismo lugar pero no es, es super lindo",lugar
Usuario no disponible,Es caro? Me encantaria regalarme una salidita,no_relacionado
Usuario no disponible,alguien que me diga como llegar x alla xfa quiero ir,no_relacionado
Usuario no disponible,Es en guayaquil,no_relacionado
Usuario no disponible,Esperando que salga algun mono,no_relacionado
Usuario no disponible,como se llama ese lugar y x donde mis esta ubicado,lugar
Usuario no disponible,Y donde estan los monos o son las personas @,no_relacionado
Usuario no disponible,"Solo quiero saber si es caro, por que quiero ir en realidad JAJAJAJ",no_relacionado
Usuario no disponible,como cuando y donde....pag como se llega,no_relacionado
Usuario no disponible,Porque no puedo compartir?,no_relacionado
Usuario perdido,"es mejor ""Aqua River Park """,no_relacionado
Usuario perdido,De q ciudad son,no_relacionado
Usuario perdido,buenos dias disculpe que bus van para alla desde Sangolqui muchas gracias por la informacion,informacion
Usuario perdido,Es realmente Lindo Estube hay,no_relacionado
Usuario perdido,la informacion esta incompleta en que provincia costa sierra ooriente o region insular,informacion
Usuario perdido,No se puede entrar con mascotas y si quieres entrar tienes que pagar extra para dejar a tu mascota en una JAULA que estan al fondo de los parqueaderos en un rincon oscuro,no_relacionado
Usuario perdido,amiga me ayudas aver un zapato de bebe es q mi sobrino lo boto es un zapato de Mickey azul,no_relacionado
Usuario perdido,y si quiero ir en helicoptero??,no_relacionado
Usuario perdido,no ay capibarad,no_relacionado
Usuario perdido,Cobran por cada atraccion? O solo se paga la entrada,no_relacionado
Usuario perdido,yo estuve ahi,no_relacionado
Usuario perdido,"la verdad, que supero mis expectativas!!",no_relacionado
Usuario perdido,donde esta ubicado,no_relacionado
Usuario perdido,don esta quito o guayaquil,no_relacionado
Usuario perdido,en donde se ubica,no_relacionado
Usuario perdido,La atencion es de todos los dias???,no_relacionado
Usuario perdido,es lindo recomendasimo es la mejor opcion para pasar unas vacaciones extraordinarias,no_relacionado
Usuario perdido,buen dia me interesa ubicacion en Quito Ecuador,no_relacionado
Usuario perdido,por donde,no_relacionado
Usuario perdido,si puedo ir en caballo,no_relacionado
Usuario no disponible,pachacay,no_relacionado
Usuario no disponible,no es lo que dicen es muy caro deben decir la verdad asi uno lleva lo que es,no_relacionado
Usuario no disponible,pachacay,no_relacionado
Usuario no disponible,Que precio tiene para 5 personas,precio
Usuario no disponible,Excelente,no_relacionado
Usuario no disponible,$6 solo a entrada,no_relacionado
Usuario no disponible,buen dia. las actividades tienen costo adicional ??,costo
Usuario no disponible,q vale hospedaje,hospedaje
Usuario no disponible,pachacay,no_relacionado
Usuario no disponible,Pachuca y,no_relacionado
Usuario no disponible,pachakay,no_relacionado
Usuario no disponible,Costo por pareja por favor,costo
Usuario no disponible,como se llama me gustaria con mi familia,no_relacionado
Usuario no disponible,precio del hospedaje,"hospedaje, precio"
Usuario no disponible,Para tres personas por favor,no_relacionado
Usuario no disponible,donde es especificamente,no_relacionado
Usuario no disponible,pachacaic,no_relacionado
Usuario no disponible,precios aspedaje para pareja,no_relacionado
Usuario no disponible,Pachakai,no_relacionado
Usuario no disponible,pachakay,no_relacionado
Usuario perdido,"No vayan en automoviles, la via de ascenso no esta en buen estado a mi hacer ese chiste me costo el carter del carro preferible vayan en camioneta desde san Miguel",costo
Usuario perdido,Orgulloso de mi provincia de Bolivar vivo ahi soy Sanmigueleno si alguien desea ir y que les guie les puedo llevar sin problema alguno orgulloso de mi provincia de Bolivar .,no_relacionado
Usuario perdido,informacion gracias,informacion
Usuario perdido,"Tengo unas ganas inmensas de ir, se ve bellisimo, saben como ir desde Guayaquil?",no_relacionado
Usuario perdido,precio del flete en camioneta,precio
Usuario perdido,todo bien pero la comida es malaaaaa,no_relacionado
Usuario perdido,Que costos tiene para acampar en carpas ???,no_relacionado
Usuario perdido,,no_relacionado
Usuario perdido,precios,no_relacionado
Usuario perdido,de guayaquil q bus nos lleva,no_relacionado
Usuario perdido,a q hora da ese paisaje?,no_relacionado
Usuario perdido,Este lugar muy lindo pero pesima la atencion,lugar
Usuario perdido,"si se va en vehiculo particular, se puede dejar en algun lugar seguro? xfa amigo. Respuesta",lugar
Usuario perdido,En la vi a Cuenca tambien hay ese paisaje lo vivi este fin d semana,no_relacionado
Usuario perdido,Pero es ambiente familiar o fiesta rave?? Veo muchos videos con parlantes y DJ,no_relacionado
Usuario perdido,de quito hasta la provincia de bolivar cuantas horas ? porfavor,no_relacionado
Usuario perdido,Hay que caminar? Porque estoy en muletas u si quiero ir,no_relacionado
Usuario perdido,amigo y hay cosas turisticas en bolivar porque claro tendria que esperar la caida del sol,no_relacionado
Usuario perdido,A que distancia esta desde Guayaquil como se llama el lugar gracias,lugar
Usuario perdido,las camionetas que se alquilan llevan hasta el lugar o hay que subir caminando?,lugar
Usuario no disponible,Tonsupa cuando ya vas llegando la vista de los edificios parece Miami pero el agua no es como alla ya que no esta tan limpia sin embargo los demas para rentar si. hermosos,no_relacionado
Usuario no disponible,"Tonsupa Esmeraldas, yo me iba cuando era una playa votada y llena de yerba, que enorme cambio en pocos anos ojala y la cuiden",playa
Usuario no disponible,Desde las alturas: . Caminar por las calles:,no_relacionado
Usuario no disponible,Hermosa la playa de Tonsupa,playa
Usuario no disponible,un arreglo en las calles con veredas seria excelente,no_relacionado
Usuario no disponible,Se ve bien bonito el color del agua pero cuando bajas es cafe jaja y es por la gran cantidad de sedimento que bajan de los rios. :'(,bonito
Usuario no disponible,como se llega a tonsupa de Quito,no_relacionado
Usuario no disponible,el lindo esmeraldas,no_relacionado
Usuario no disponible,LA PLAYA,playa
Usuario no disponible,hermoso mi Ecuador,hermoso
Usuario no disponible,"Hermosa la playa de Tonsupa, las mejores vacaciones",playa
Usuario no disponible,Freysi cherres confirma,no_relacionado
Usuario no disponible,yo que esta semana me iba para alla a Tonsupa pero con este oleaje ya me da miedo ir,no_relacionado
Usuario no disponible,linda providencia,no_relacionado
Usuario no disponible,ciudad hermosa,no_relacionado
Usuario no disponible,,no_relacionado
Usuario no disponible,,no_relacionado
Usuario no disponible,si ella va yo voy,no_relacionado
Usuario no disponible,exelente video te invito alas aguas termales la Grita bendiciones para todos ustedes que dan ha conocer sitios tan hermosos que tiene el Tachira,"conocer, termales"
Usuario no disponible,que dia tienen para ir y el precio porfa,precio
Usuario no disponible,45min corriendo sera y subiendo como hora 20,no_relacionado
Usuario no disponible,si alla es muy bello yo fui pa ese mismo lado,no_relacionado
Usuario no disponible,Me parecio ver a Terry fue uno de mis profesores en la Antonio Jose De Sucre,no_relacionado
Usuario no disponible,en que parte es las adjuntas,no_relacionado
Usuario no disponible,yo solo busque el deportivo Tachira,no_relacionado
Usuario no disponible,un lindo lugar,lugar
Usuario no disponible,yo te miro a vos,no_relacionado
Usuario no disponible,informacion sobre el paseo por favor,"informacion, paseo"
